,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
89,89,softmaxBeta-1_27,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(2, 3), [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 1], [8, 1], [8, 2], [8, 3], [9, 3], [9, 4], [10, 4], [10, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1)]",[6],"[0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0]",1,"(2, 3)","(4, 13)","(10, 5)",rect,2.0,10.0,2.0,8.0
90,90,softmaxBeta-1_27,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(9, 1), [8, 1], [7, 1], [6, 1], [5, 1], [5, 3], [4, 3], [3, 3], [2, 3], [2, 4], [1, 4], [1, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[5],"[0, 0, 0, 0, 2, 2, 2, 2, 0, 2, 0]",1,"(9, 1)","(5, 9)","(1, 5)",expRect,0.0,12.0,4.0,24.0
91,91,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(3, 2), [4, 2], [5, 2], [6, 2], [7, 3], [7, 4], [7, 5], [8, 5], [6, 5], [7, 5], [8, 5], [8, 6], [9, 6], [10, 6]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0)]","[8, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,"(3, 2)","(10, 6)","(8, 8)",expRect,0.0,11.0,2.0,29.0
92,92,softmaxBeta-1_27,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(1, 3), [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [2, 11], [3, 11], [4, 11], [4, 12], [5, 12], [5, 13], [6, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 0]",0,"(1, 3)","(12, 7)","(6, 13)",expRect,0.0,15.0,6.0,29.0
93,93,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(2, 1), [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [9, 2], [8, 1], [9, 1], [9, 2], [9, 3], [9, 4], [10, 4], [10, 5], [11, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[9],"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",1,"(2, 1)","(11, 5)","(7, 9)",expRect,0.0,13.0,4.0,29.0
94,94,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3]","[(1, 10), [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [9, 11], [9, 12], [10, 12], [10, 13], [11, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",0,"(1, 10)","(8, 2)","(11, 13)",midLine,2.0,13.0,6.0,7.0
95,95,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1]","[(6, 3), [6, 4], [7, 4], [9, 4], [9, 5], [9, 6], [9, 7], [10, 7]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[8, 3]","[0, 2, 0, 0, 0, 0, 2]",2,"(6, 3)","(6, 11)","(10, 7)",straightLine,0.0,8.0,4.0,4.0
96,96,softmaxBeta-1_27,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2]","[(2, 1), [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [9, 2], [9, 0], [9, 1], [9, 2], [10, 2], [10, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]","[8, 1]","[0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0]",2,"(2, 1)","(4, 11)","(10, 3)",rect,2.0,10.0,2.0,8.0
97,97,softmaxBeta-1_27,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(10, 12), [9, 12], [8, 12], [7, 11], [6, 11], [5, 11], [4, 11], [4, 10], [3, 10], [3, 9], [2, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[3],"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,"(10, 12)","(2, 9)","(6, 5)",expRect,0.0,11.0,4.0,19.0
98,98,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[(1, 13), [2, 13], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [8, 13], [8, 12], [9, 12], [9, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 2, 2, 2, 2, 2, 0, 2, 0]",0,"(1, 13)","(3, 1)","(9, 11)",rect,4.0,10.0,2.0,8.0
