,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone,firstIntentionConsistFinalGoal
50,43,test,"[1825, 2017, 2209, 2409, 2721, 2849, 3057, 3249, 3441, 3545, 3745, 3929, 4121, 4305, 4641]","[(13, 11), [12, 11], [11, 11], [10, 11], [9, 11], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(13, 11)","(2, 7)","(8, 1)",expRect,0.0,15.0,6.0,29.0,1
51,44,test,"[1833, 2017, 2193, 2401, 2577, 2777, 2913, 3081, 3281, 3497, 3609]","[(7, 6), [6, 6], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [2, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[2],"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2]",1,"(7, 6)","(4, 11)","(2, 9)",expRect,0.0,8.0,2.0,15.0,1
52,45,test,"[1834, 2018, 2194, 2386, 2610, 2786, 3050, 3266, 3474, 3642]","[(6, 9), [7, 9], [6, 8], [6, 9], [6, 10], [6, 11], [7, 12], [8, 12], [9, 12], [9, 11], [10, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]","[2, 6]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",2,"(6, 9)","(10, 11)","(13, 6)",midLine,4.0,6.0,2.0,4.0,1
53,46,test,"[1699, 1907, 2123, 2307, 2523, 2715, 2915, 3155, 3355, 3539, 3764, 3908]","[(1, 2), [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [3, 12]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[],"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0,"(1, 2)","(3, 12)","(13, 4)",rect,2.0,12.0,4.0,8.0,1
54,47,test,"[1654, 1910, 2198, 2494, 2678, 2894, 3190, 3310, 3470, 3726, 3934, 4270, 4470]","[(3, 11), [4, 11], [5, 11], [6, 11], [6, 10], [6, 9], [7, 9], [8, 9], [8, 8], [9, 7], [10, 7], [11, 7], [12, 7], [12, 8]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[9],"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",1,"(3, 11)","(12, 8)","(6, 2)",expRect,0.0,12.0,6.0,15.0,1
55,48,test,"[1876, 2051, 2243, 2443, 2612, 2795, 2979, 3180, 3347, 3531, 3675, 3811]","[(10, 3), [10, 4], [10, 5], [10, 6], [9, 5], [9, 6], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,"(10, 3)","(10, 11)","(12, 9)",straightLine,0.0,8.0,2.0,6.0,1
56,49,test,"[1764, 1980, 2252, 2444, 2612, 2788, 3092]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2]",0,"(5, 7)","(10, 3)","(12, 7)",straightLine,2.0,7.0,2.0,5.0,1
57,50,test,"[1896, 2120, 2304, 2472, 2688, 2912, 3176, 3408, 3649, 4041, 4241]","[(7, 7), [7, 8], [7, 9], [7, 10], [8, 10], [9, 10], [8, 11], [9, 11], [10, 11], [11, 11], [12, 11], [12, 10]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[6],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0]",1,"(7, 7)","(11, 3)","(12, 10)",midLine,0.0,8.0,4.0,4.0,1
58,51,test,"[1842, 2026, 2210, 2434, 2642, 2826, 3018, 3218, 3418, 3634, 4162, 4345]","[(8, 6), [7, 5], [7, 6], [7, 7], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[1, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",2,"(8, 6)","(8, 12)","(13, 1)",none,4.0,6.0,6.0,0.0,1
59,52,test,"[1654, 1877, 2085, 2294, 2525, 2829, 3053, 3253, 3709]","[(4, 8), [5, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [11, 7], [11, 6], [11, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[2],"[0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"(4, 8)","(11, 5)","(9, 3)",expRect,0.0,10.0,2.0,23.0,1
